Secs,IMUok,IMUcal,roll,pitch,yaw,accLong,accTrans,accVert,DVLok,Vbow,Vstar,Vport,Vstern,Rbow,Rstar,Rport,Rstern,Sbow,Sstar,Sport,Sstern
0.050000,0,x,-0.835326,-3.993328,208.894295,-0.010000,-0.110000,0.220000,0.220000,-0.149051,0.021558,-0.030164,0.189052,1.198615,2.425769,1.255692,1.298500,L,L,L,L,
0.050000,0,x,-0.868064,-3.922349,208.894896,0.260000,-0.360000,-0.460000,-0.460000,-0.096973,0.015828,-0.064694,0.189559,1.212885,1.212885,1.241423,1.212885,L,L,L,L,
0.050000,0,x,-0.818336,-4.032206,208.887205,0.170000,-0.280000,-0.310000,-0.310000,-0.076298,0.069481,-0.052081,0.092816,1.184346,1.241423,1.255692,1.284231,L,L,L,L,
0.050000,0,x,-0.780141,-4.203589,208.924402,-0.240000,-0.180000,0.210000,0.210000,-0.133445,0.008631,-0.028928,0.062655,1.198615,1.212885,1.284231,1.269961,L,L,L,L,
0.050000,0,x,-0.747483,-4.239325,208.974372,-0.260000,0.080000,-0.180000,-0.180000,-0.160291,0.090887,-0.061522,0.165320,1.241423,1.227154,1.227154,1.212885,L,L,L,L,
0.050000,0,x,-0.767353,-4.151953,209.054313,-0.000000,-0.170000,-0.080000,-0.080000,-0.178750,0.058259,-0.071932,0.177158,2.397231,1.227154,1.298500,1.255692,L,L,L,L,
0.050000,0,x,-0.751735,-4.206212,209.096509,-0.160000,-0.020000,-0.130000,-0.130000,-0.111237,0.108548,0.001582,0.127887,1.198615,1.227154,1.212885,1.255692,L,L,L,L,
0.050000,0,x,-0.723737,-4.308064,209.140291,-0.320000,-0.150000,-0.040000,-0.040000,-0.144595,0.079375,0.001598,0.069229,2.382962,1.241423,1.269961,1.241423,L,L,L,L,
0.050000,0,x,-0.749859,-4.235445,209.140796,0.250000,-0.310000,-0.160000,-0.160000,-0.189758,-0.029857,-0.048139,0.136686,1.212885,1.212885,1.269961,1.241423,L,L,L,L,
0.050000,0,x,-0.801855,-4.090099,209.148474,0.140000,-0.380000,-0.160000,-0.160000,-0.112482,0.089234,-0.083700,0.151735,1.212885,1.241423,1.227154,1.241423,L,L,L,L,
0.050000,0,x,-0.880800,-4.124577,209.115934,0.260000,-0.360000,-0.290000,-0.290000,-0.088920,0.108306,-0.053882,0.095629,1.212885,1.241423,1.269961,1.212885,L,L,L,L,
0.050000,0,x,-0.912591,-4.312817,209.082945,-0.130000,0.000000,-0.120000,-0.120000,-0.164971,0.141412,0.027612,0.173265,1.227154,1.255692,6.963385,1.227154,L,L,L,L,
0.050000,0,x,-0.925783,-4.409396,209.028262,-0.210000,-0.090000,-0.350000,-0.350000,-0.112983,0.097165,-0.155356,0.125361,1.255692,1.269961,1.255692,1.212885,L,L,L,L,
0.050000,0,x,-0.997821,-4.304403,208.985956,0.510000,-0.420000,-0.360000,-0.360000,-0.041943,0.016654,-0.129184,0.111834,1.198615,1.212885,1.241423,1.198615,L,L,L,L,
0.050000,0,x,-0.988176,-4.373579,208.957338,0.020000,-0.090000,-0.090000,-0.090000,-0.140232,0.107130,0.012120,0.179541,1.212885,1.241423,1.269961,1.255692,L,L,L,L,
0.050000,0,x,-0.911684,-4.505210,208.935126,-0.110000,-0.030000,-0.370000,-0.370000,-0.144203,0.055670,-0.056445,0.145293,1.227154,1.255692,1.255692,1.241423,L,L,L,L,
0.050000,0,x,-0.883045,-4.447345,208.940330,0.120000,-0.210000,-0.150000,-0.150000,-0.190216,0.248863,-0.027770,0.146732,1.212885,1.227154,1.255692,1.241423,L,L,L,L,
0.050000,0,x,-0.881590,-4.281153,208.966107,0.280000,-0.280000,-0.230000,-0.230000,-0.094061,0.050655,0.010665,-0.042199,1.198615,1.198615,1.227154,2.411500,L,L,L,L,
0.050000,0,x,-0.847831,-4.330084,208.951655,0.160000,-0.110000,-0.250000,-0.250000,-0.047081,0.149832,-0.083470,0.078650,1.198615,1.255692,1.255692,1.227154,L,L,L,L,
0.050000,0,x,-0.785731,-4.567392,208.974768,-0.010000,-0.150000,0.190000,0.190000,-0.087212,0.000481,0.010076,0.161675,1.227154,1.212885,1.241423,1.227154,L,L,L,L,
0.050000,0,x,-0.773706,-4.730115,208.948267,-0.200000,0.210000,0.180000,0.180000,-0.085474,0.099074,-0.004999,0.146748,1.212885,1.227154,1.227154,1.255692,L,L,L,L,
0.050000,0,x,-0.819838,-4.720334,208.943336,-0.340000,-0.280000,-0.160000,-0.160000,-0.099133,0.096085,-0.063109,0.066432,1.212885,1.241423,1.269961,1.212885,L,L,L,L,
0.050000,0,x,-0.885283,-4.664654,208.930290,0.150000,-0.170000,-0.260000,-0.260000,-0.122495,0.145435,-0.082602,0.192690,1.212885,1.212885,1.269961,1.269961,L,L,L,L,
0.050000,0,x,-0.897598,-4.783691,208.940262,-0.290000,-0.210000,0.100000,0.100000,-0.059979,0.070194,-0.076173,0.140302,1.198615,1.212885,1.298500,1.198615,L,L,L,L,
0.050000,0,x,-0.906948,-4.887154,208.941464,-0.550000,0.310000,0.430000,0.430000,-0.143161,0.062066,-0.087335,0.121516,1.227154,1.212885,1.227154,1.212885,L,L,L,L,
0.050000,0,x,-0.943141,-4.773882,208.948854,0.120000,-0.100000,-0.020000,-0.020000,-0.109193,0.085314,-0.000293,0.089010,1.227154,1.269961,1.255692,1.212885,L,L,L,L,
0.050000,0,x,-0.966702,-4.656840,208.933541,0.190000,-0.130000,-0.280000,-0.280000,-0.094971,0.036970,-0.060856,0.079395,1.241423,1.241423,1.269961,1.255692,L,L,L,L,
0.050000,0,x,-0.950969,-4.717711,208.933405,0.330000,-0.190000,-0.060000,-0.060000,-0.169971,0.082319,-0.058968,0.146833,1.198615,1.241423,1.255692,1.212885,L,L,L,L,
0.050000,0,x,-0.878295,-4.944610,208.927121,0.390000,-0.060000,-0.160000,-0.160000,-0.136273,-0.011288,-0.005180,0.113637,1.284231,1.241423,1.255692,1.241423,L,L,L,L,
0.050000,0,x,-0.862793,-4.976684,208.926697,-0.610000,0.230000,0.200000,0.200000,-0.127747,0.036436,-0.057796,0.113637,1.241423,1.198615,1.212885,1.198615,L,L,L,-,
0.050000,0,x,-0.893646,-4.854861,208.940645,-0.190000,0.280000,0.140000,0.140000,-0.127747,0.063505,-0.044058,0.196834,0.000000,1.269961,1.255692,1.255692,-,L,L,L,
0.050000,0,x,-0.877210,-4.887154,208.962283,0.090000,-0.090000,-0.320000,-0.320000,-0.128609,0.078800,0.010813,0.109635,1.241423,1.212885,1.241423,1.241423,L,L,L,L,
0.050000,0,x,-0.851508,-4.959882,208.954947,-0.850000,0.100000,0.100000,0.100000,-0.121178,0.053127,-0.029178,0.110180,1.212885,1.212885,1.255692,5.022769,L,L,L,L,
